Total 2015 Per-Capita,Unemployment,Employment,Earnings,Burglary,Robbery,Theft
Durham,5794.988488,70421.8772,2117.7,3.296370155,0.353661951,17.23129676
North Yorkshire,2240.121574,82385.97874,2107.733333,3.905911083,0.512102014,26.27168944
South Yorkshire,5670.030396,71577.84181,2107.733333,5.142737632,1.190753248,35.2269399
GreaterManchester,4992.467965,72063.00409,2118.133333,4.493788,1.812356517,23.24512615
Cheshire,2847.57801,78601.82769,2118.133333,4.463131819,0.819717833,31.78966304
Lancashire,3338.469496,75214.42296,2118.133333,6.56571018,1.857571573,29.85429787
Derbyshire,3554.526009,76253.6713,2076.1,1.523662559,0.523365834,11.42005031
Leicestershire,3176.150975,77783.32939,2076.1,1.911872279,0.471229079,12.0047658
Lincolnshire,4425.122256,76402.80821,2076.1,3.90472666,0.579124815,26.77337192
Warwickshire,1977.453174,80326.65117,2136.766667,2.683101566,0.908872978,19.89530736
West Midlands,5689.478306,66059.55438,2136.766667,4.266916384,2.659522351,35.40849159
Essex,3525.259674,79642.96313,2242.5,2.826505644,0.843415938,18.33057491
Hertfordshire,2708.435754,83057.82917,2242.5,2.80317133,0.896941886,20.74904529
Suffolk,3089.56993,79317.88775,2242.5,2.130139822,0.650386113,20.12620799
Metropolitan and City,4852.485365,75892.48028,2859.566667,3.84134508,1.897723325,19.49693453
Thames Valley,3231.54074,81878.58302,2392.433333,2.473682844,0.805070336,19.69422989
Hampshire,3460.444764,81008.41222,2392.433333,3.083124634,0.765147474,20.23782994
Kent,4712.654513,77121.85015,2392.433333,3.964505292,0.873448147,22.27774093
Gloucestershire,3647.74889,83146.00507,2135.466667,3.477700525,0.761806093,21.04281786
Dorset,3515.812044,81411.57926,2135.466667,5.946260158,0.863800782,46.10244421
